"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"737","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","55-64","Indep lean Dem","Less than $20,000","Liberal","Widowed"
"738","No, law does not do this","Somewhat important","Not too important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","(DO NOT READ) Refused",NA,"Support","Still support","Some college, no degree (includes some community college)","25-34","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Conservative","Never been married"
"739","Yes, the law does this","Very important","Very important","Support","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","55-64","Democrat","$40,000 to less than $50,000","Liberal","Divorced"
"740","No, law does not do this","Very important","Very important","Support","The woman herself (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Less than high school (Grades 1-8 or no formal schooling)","65+","Indep/Don't lean","Less than $20,000","Conservative","Married"
"741","Yes, the law does this","Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","Less than $20,000","Liberal","Divorced"
"742",NA,"Not too important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Two year associate degree from a college or university","35-44","Indep lean Rep","$30,000 to less than $40,000","Moderate","Living with a partner"
"743",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Skipped","Skipped","(DO NOT READ) Never heard of Planned Parenthood","Skipped","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","35-44","Republican","(DO NOT READ) Don't know/Refused","Liberal","Married"
"744",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","Less than $20,000","Liberal","Divorced"
"745","No, law does not do this","Somewhat important","Somewhat important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Indep lean Dem","$50,000 to less than $75,000","Conservative","Married"
"746",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","35-44","Democrat","$100,000 or more","Moderate","Never been married"
"747","No, law does not do this","Somewhat important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Democrat","$50,000 to less than $75,000","Conservative","Divorced"
"748",NA,"Somewhat important","Very important","Oppose","The woman herself (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Less than high school (Grades 1-8 or no formal schooling)","25-34","Indep/Don't lean","Less than $20,000","Conservative","Married"
"749","No, law does not do this","Not at all important","Somewhat important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Rep","$100,000 or more","Conservative","Married"
